gender,age,education_level,job_fulltime,job_parttime,job_training,job_annualleave,job_laidoff,job_unemplyed,job_retired,job_student,job_other,work_position,employment_duration,weekly_workhours,effect_of_codetermination_process,work_community_help_in_problems,remote_working,excellent_work_performance,feeling_stressed,financial_stress,good_gender_equality_at_work,good_worker_equality_at_work,overall_life_satisfaction,health_status,sleeping_problems,physical_exercise,employment_prospects,ukraine_worries,surrender,feelings,effort_reward_imbalance_reward,effort_reward_imbalance_effort,ERI_RATIO,WHO5_TOTAL,SISU_LP,SISU_AM,SISU_EP,SISU_HR,SISU_HS,SISU_HO
1,31,4,1,0,0,0,0,0,0,0,0,1,2,5,1,1,1,2,5,4,5,5,3,1,4,1,1,4,0,0,24,23,2.11,20,16,18,17,17,21,15
1,22,2,0,1,0,0,0,0,0,1,0,1,3,3,1,1,1,4,3,3,5,4,4,4,3,3,4,3,1,0,44,9,0.45,76,15,11,15,8,8,3
1,48,4,0,0,0,0,0,1,0,0,0,4,,,,,,,3,4,,,4,4,4,3,5,3,1,0,,,,68,19,17,17,6,6,8
1,23,3,0,1,0,0,0,0,0,1,0,1,2,1,1,1,1,4,3,2,4,4,4,4,2,2,5,2,1,1,46,9,0.43,52,12,10,11,9,7,4
1,29,4,0,0,1,0,0,0,0,0,0,1,,,,,2,,4,4,,,3,4,4,1,5,2,,0,,,,60,17,16,17,9,9,4
3,36,4,1,0,0,0,0,0,0,0,0,1,4,4,1,1,1,1,5,5,1,1,1,2,4,2,1,4,,,13,25,4.23,20,9,9,12,9,17,15
1,23,2,0,1,0,0,0,0,0,1,0,1,2,1,1,1,4,1,5,3,3,4,4,4,3,2,4,4,1,1,37,8,0.48,48,12,12,6,13,11,4
1,36,4,1,0,0,0,0,0,0,0,0,1,4,4,1,,1,4,3,3,4,4,4,5,2,3,2,2,1,0,34,23,1.49,72,17,18,18,8,13,10
2,28,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,5,,,3,3,3,2,4,3,,,,,,48,13,12,15,7,5,5
2,30,3,0,1,0,0,0,0,0,1,0,6,1,3,1,1,3,3,3,4,6,6,3,4,4,2,2,2,0,0,32,17,1.17,56,12,9,12,12,7,4
1,25,4,1,0,0,0,0,0,0,1,0,1,1,4,1,,1,5,2,3,4,6,5,5,2,2,3,1,1,1,39,10,0.56,64,16,14,17,11,11,5
1,40,4,1,0,0,0,0,0,0,1,0,1,2,4,1,1,4,4,3,3,4,5,4,3,4,2,5,2,0,0,44,11,0.55,52,18,17,17,8,15,8
2,30,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,5,2,4,2,2,4,2,2,1,4,3,0,1,40,21,1.16,60,9,5,6,7,11,4
2,50,4,0,0,0,0,0,1,0,0,0,7,,,,,,,4,5,,,1,4,3,2,3,2,,0,,,,36,8,14,5,7,13,4
2,25,3,0,1,0,0,0,0,0,1,0,1,1,1,1,1,4,3,3,3,5,4,4,3,3,1,3,1,,1,27,6,0.49,68,7,13,8,7,7,11
1,57,4,0,0,0,0,0,0,0,1,0,7,,,,,,,4,4,,,4,4,4,2,4,3,1,1,,,,56,10,11,9,9,12,10
1,32,3,0,1,0,0,0,0,0,1,0,1,3,2,1,3,4,4,3,2,4,2,3,4,4,3,4,1,,,27,10,0.81,28,8,10,12,10,8,9
2,31,3,0,0,0,0,0,0,0,1,0,7,,,,,,,2,3,,,4,5,1,3,4,2,,0,,,,72,9,7,7,13,3,4
1,47,4,0,1,0,0,0,0,0,1,0,1,3,3,1,1,1,1,4,3,2,3,3,3,3,2,4,2,0,0,30,11,0.81,56,12,12,6,16,14,9
1,26,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,4,5,4,4,2,2,2,1,3,3,,,41,16,0.86,44,12,13,14,14,16,13
1,42,3,1,0,0,0,0,0,0,0,0,1,4,4,1,1,1,3,3,2,4,4,4,4,3,2,2,0,0,1,28,19,1.49,60,9,7,17,21,20,8
1,25,3,1,0,0,0,0,0,0,1,0,2,2,4,1,1,4,2,4,5,4,4,4,5,1,3,4,1,,,43,6,0.31,64,5,6,7,13,4,5
1,38,4,1,0,0,0,0,0,0,0,0,4,1,4,1,1,1,5,3,2,4,4,5,5,1,3,4,4,,,46,15,0.72,84,17,17,15,5,10,7
1,24,3,0,1,0,0,0,0,0,1,0,1,1,2,1,1,2,4,2,1,5,5,5,5,1,4,5,2,1,1,47,17,0.8,88,16,18,19,6,12,5
1,62,4,1,0,0,0,0,0,0,0,0,3,5,5,1,1,1,5,2,1,2,5,5,5,2,2,5,1,,,53,20,0.83,76,15,21,21,7,14,12
1,56,4,1,0,0,0,0,0,0,0,0,4,4,4,1,1,2,5,4,3,2,2,3,3,4,3,4,2,0,0,27,21,1.71,36,15,12,10,14,13,5
1,22,2,0,1,0,0,0,0,0,1,0,1,4,,1,,4,2,4,2,6,2,4,5,1,2,3,1,1,1,,,,60,7,10,11,11,6,5
1,42,4,1,0,0,0,0,0,0,0,0,4,4,4,3,3,1,2,5,3,4,2,4,4,1,2,4,2,,0,42,18,0.94,40,12,12,21,10,10,7
1,38,4,1,0,0,0,0,0,0,0,0,4,2,4,1,1,1,4,3,4,4,4,4,4,3,3,3,4,,,33,14,0.93,72,15,13,19,14,5,11
1,44,4,0,0,0,0,0,0,1,1,0,7,,,,,,,3,1,,,4,3,4,3,5,2,1,0,,,,60,12,15,14,13,8,9
2,34,4,1,0,0,0,0,0,0,0,0,4,2,4,1,1,4,5,2,2,5,4,4,4,1,2,5,1,1,1,53,13,0.54,64,12,16,14,10,6,7
1,27,2,0,1,0,0,0,0,0,1,0,1,4,1,1,1,4,5,5,5,5,5,4,4,4,2,4,3,,,39,12,0.68,72,15,9,16,14,14,9
1,22,3,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,5,3,2,4,4,4,4,3,3,5,0,,1,48,15,0.69,64,11,16,16,6,12,8
1,32,3,0,1,0,0,0,0,0,1,0,1,1,2,1,1,1,2,5,4,6,6,2,2,4,3,3,3,1,0,28,19,1.49,32,12,7,12,16,13,8
1,22,3,1,0,1,0,0,0,0,1,0,1,1,4,1,1,1,3,3,3,4,4,4,2,4,3,4,1,,,46,13,0.62,36,8,13,18,6,9,6
1,30,2,0,1,0,0,0,0,0,1,0,1,2,4,3,2,4,5,3,4,5,5,3,4,2,3,3,1,,,27,13,1.06,56,13,13,11,9,6,3
2,38,2,1,0,0,0,0,0,0,0,0,3,2,4,1,1,1,4,1,1,5,5,4,3,2,2,4,2,0,1,47,20,0.94,56,11,10,10,13,10,14
2,49,4,0,1,0,0,0,0,0,0,0,1,4,2,1,1,1,2,2,2,5,1,4,4,2,3,3,4,,,32,17,1.17,88,15,12,18,4,5,4
2,26,4,0,1,0,0,0,0,0,0,0,1,3,3,1,1,4,4,3,3,6,6,3,4,2,2,3,2,1,0,23,14,1.34,56,10,13,13,13,6,4
1,24,3,1,0,0,0,0,0,0,1,0,1,1,3,1,,4,1,2,3,5,4,5,5,1,1,5,2,1,,41,13,0.7,80,12,12,18,12,9,4
1,34,4,1,0,0,0,0,0,0,0,0,4,4,4,1,1,1,4,4,3,4,4,4,4,3,3,2,4,1,0,28,21,1.65,44,15,10,15,12,15,12
1,22,3,0,1,0,0,0,0,0,0,0,1,2,1,1,,4,4,3,2,5,4,4,5,2,3,4,2,,,50,7,0.31,68,11,11,11,7,5,4
1,35,3,1,1,0,0,0,0,0,1,0,5,3,4,1,1,4,4,3,3,4,4,4,3,2,2,3,3,,0,44,19,0.95,52,14,14,16,11,15,6
1,31,3,1,0,0,0,0,0,0,1,0,1,3,4,2,2,1,2,4,2,5,2,4,3,2,3,5,4,,,34,22,1.42,64,8,11,15,8,5,5
2,26,3,1,0,0,0,0,0,0,1,0,1,3,4,1,,1,4,3,3,4,4,4,2,1,2,4,2,1,0,50,11,0.48,44,12,13,18,17,8,13
1,29,3,1,0,0,0,0,0,0,0,0,1,4,4,3,3,4,3,4,4,2,2,4,4,3,3,3,2,1,0,23,22,2.1,56,15,16,11,15,18,7
3,23,2,1,0,0,0,0,0,0,0,0,1,2,4,1,1,4,4,4,2,2,2,2,2,4,2,4,2,,1,,16,,44,15,14,14,9,9,8
1,25,2,0,0,1,0,0,0,0,1,0,1,1,4,1,1,4,4,4,3,4,4,4,4,4,3,4,3,,,41,14,0.75,64,15,11,13,11,11,4
1,31,4,0,0,0,0,0,0,0,0,1,6,2,3,1,,1,4,2,3,3,3,5,4,2,2,4,1,1,1,31,7,0.5,64,14,13,17,7,13,7
1,32,4,1,0,0,0,0,0,0,0,0,4,4,4,1,1,1,5,3,3,4,3,4,5,1,3,3,1,1,0,48,20,0.92,80,12,20,13,3,10,7
2,22,2,0,0,0,0,0,1,0,1,0,7,,,,,,,2,2,,,4,4,3,2,4,3,1,1,,,,68,10,12,12,7,6,6
1,25,3,1,0,1,0,0,0,0,1,0,1,2,4,1,1,4,5,3,2,2,4,4,4,2,2,4,3,,,46,11,0.53,64,8,10,11,7,5,4
1,22,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,4,4,5,5,5,3,3,4,3,5,1,1,0,48,14,0.64,52,8,10,8,10,10,7
1,54,3,1,0,0,0,0,0,0,0,0,1,4,4,1,1,4,4,4,3,4,4,3,3,1,2,4,3,1,0,32,23,1.58,56,15,12,17,11,14,11
1,46,4,1,0,0,0,0,0,0,1,0,5,5,4,1,1,1,4,3,3,4,4,4,4,3,1,2,3,,1,28,22,1.73,44,16,13,14,6,8,6
1,32,4,1,0,0,0,0,0,0,0,0,4,2,5,1,1,4,4,3,3,2,2,4,4,4,2,5,2,1,,39,25,1.41,60,20,17,20,6,13,12
1,33,4,1,0,0,0,0,0,0,0,0,4,1,4,1,1,4,4,2,1,5,4,5,5,2,3,5,2,,1,49,20,0.9,72,13,13,13,9,9,7
1,24,2,0,1,0,0,0,0,0,1,0,1,3,1,2,3,4,4,3,4,5,4,4,4,3,1,4,2,,,40,16,0.88,92,18,14,16,11,18,10
1,30,3,0,1,0,0,0,0,0,1,1,2,4,2,1,1,2,5,3,3,5,5,4,4,3,2,4,2,0,1,43,13,0.67,64,15,19,17,9,11,16
1,63,3,0,1,0,0,0,0,0,1,0,1,5,2,1,1,2,4,2,2,5,2,4,4,2,2,5,1,1,1,24,8,0.73,80,14,19,21,8,8,7
1,33,4,1,0,0,0,0,0,0,1,0,4,5,4,3,3,1,4,4,4,2,2,4,3,4,2,4,2,0,,20,20,2.2,48,14,11,17,10,9,9
1,52,4,0,0,0,1,0,0,0,0,0,1,5,4,1,1,1,5,4,5,4,1,5,5,2,4,4,2,1,1,28,21,1.65,100,18,12,20,6,8,4
1,29,4,0,1,0,0,0,0,0,1,0,5,4,1,1,1,1,5,2,1,6,6,5,5,1,2,4,1,,,43,9,0.46,88,15,14,17,4,4,6
1,28,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,2,3,3,4,4,3,2,4,1,5,2,1,0,45,11,0.54,40,10,10,9,12,6,7
1,41,4,1,0,0,0,0,0,0,1,0,1,2,4,2,2,1,2,4,3,2,2,4,4,2,1,3,4,0,0,26,23,1.95,64,14,6,16,21,19,14
1,21,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,1,4,3,2,4,4,4,4,3,1,3,2,,,,18,,68,16,13,17,16,14,16
1,27,3,0,0,1,0,0,0,0,0,0,1,1,4,1,1,1,3,5,3,3,3,4,4,4,4,5,3,,,37,13,0.77,52,19,14,18,16,18,11
1,40,4,0,1,0,0,0,0,0,0,0,1,2,2,1,1,1,3,3,2,6,4,4,4,4,2,4,2,,,46,7,0.33,36,12,7,12,13,5,4
1,22,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,1,4,3,4,5,4,4,4,3,2,4,2,1,,41,12,0.64,68,12,13,14,10,8,7
1,66,2,0,0,0,0,0,0,1,0,0,7,,,,,,,2,1,,,3,3,4,2,1,0,,,,,,44,7,10,6,6,6,4
1,25,3,0,0,0,0,0,0,0,1,0,7,,,,,,,2,1,,,5,4,1,2,5,2,,,,,,80,13,9,12,3,7,3
1,20,2,0,1,0,0,0,0,0,1,0,1,2,2,1,1,4,4,2,1,5,4,5,5,1,2,3,0,0,1,44,19,0.95,92,17,13,16,10,6,6
2,23,2,1,0,0,0,0,0,0,1,0,1,1,4,1,1,4,5,2,1,5,5,4,5,2,2,5,1,1,,54,8,0.33,88,13,17,19,5,10,5
2,46,3,1,0,0,0,0,0,0,1,0,1,5,4,1,,1,5,5,1,4,4,3,4,4,2,5,4,,0,46,19,0.91,24,16,10,13,11,12,7
1,28,4,1,0,0,0,0,0,0,0,0,6,3,4,1,1,1,4,2,2,5,4,5,5,2,3,5,2,1,1,36,20,1.22,80,16,18,17,6,10,8
1,37,4,1,0,0,0,0,0,0,0,0,1,1,4,,,1,4,1,3,6,6,4,5,1,2,2,2,,,37,5,0.3,60,10,15,16,7,8,4
1,27,3,0,1,0,0,0,0,0,1,0,1,3,2,1,1,1,4,3,3,3,4,4,5,3,4,4,2,1,1,45,23,1.12,92,13,14,15,10,15,7
1,22,3,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,4,3,3,3,2,4,4,3,2,3,1,1,0,47,13,0.61,72,15,12,16,9,10,10
1,25,3,1,0,1,0,0,0,0,1,0,1,2,4,1,1,1,4,3,3,4,4,4,4,3,4,4,1,,,40,11,0.61,76,17,16,16,6,8,4
1,22,2,0,0,0,0,0,0,0,1,0,7,,,,,,,3,3,,,4,4,4,2,5,2,,,,,,72,11,13,11,16,11,6
2,58,4,1,0,0,0,0,1,0,0,0,1,2,2,3,2,,5,4,5,2,5,2,2,4,1,5,0,1,1,40,9,0.5,40,17,12,15,15,11,17
1,31,4,1,0,0,0,0,0,0,0,0,2,4,5,1,1,2,1,5,2,3,2,2,3,2,2,3,3,,,38,25,1.45,40,8,12,17,15,16,9
2,30,3,0,1,0,0,0,0,0,1,0,1,2,3,1,1,4,4,5,3,3,2,2,5,3,2,1,2,1,0,26,7,0.59,20,3,11,3,19,5,8
1,29,3,0,0,0,0,0,0,0,1,0,6,1,4,2,3,2,4,4,5,5,5,4,2,4,1,3,4,1,1,41,12,0.64,52,12,10,15,16,16,4
1,58,4,1,0,0,0,0,0,0,0,0,4,5,5,1,1,1,5,2,2,5,5,5,5,3,2,5,2,1,1,51,16,0.69,92,17,12,15,9,9,6
1,27,4,0,1,0,0,0,0,0,1,0,4,3,3,1,1,1,4,3,4,4,4,5,4,1,3,4,4,,,39,13,0.73,72,18,19,16,6,4,4
1,42,3,0,1,0,0,0,0,0,0,0,1,5,2,1,1,4,4,3,2,2,2,4,4,1,2,5,2,1,1,34,23,1.49,92,6,6,11,3,3,3
1,25,3,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,4,3,3,4,4,4,4,2,2,4,2,1,,36,16,0.98,64,12,14,11,6,10,7
1,21,2,1,0,0,0,0,0,0,1,0,1,3,3,1,1,4,5,3,2,5,5,4,3,3,2,5,2,1,1,46,14,0.67,56,13,16,17,7,5,8
1,25,2,0,0,0,0,0,0,0,0,1,1,,,,,,,5,5,,,2,1,4,1,5,4,1,0,31,19,1.35,88,3,7,12,21,18,14
2,23,2,1,0,0,0,0,0,0,1,0,1,2,4,1,1,4,5,1,2,6,5,5,5,1,3,4,2,,,51,11,0.47,80,15,17,19,6,13,7
1,37,4,1,0,0,0,0,0,0,1,0,4,3,4,1,1,1,4,5,5,4,4,3,3,4,2,4,3,,,31,20,1.42,48,16,9,17,21,13,11
1,25,3,0,1,0,0,0,0,0,1,0,1,3,2,1,1,4,4,3,3,5,2,4,4,3,3,2,1,0,1,34,11,0.71,60,15,15,17,14,12,5
1,0,3,1,0,0,0,0,0,0,0,0,4,5,4,1,1,1,5,3,3,5,5,4,3,2,2,2,3,,,30,23,1.69,76,15,13,9,3,6,3
2,23,3,1,0,0,0,0,0,0,1,0,1,3,4,1,1,1,4,4,2,4,5,4,4,1,3,4,2,,0,48,11,0.5,60,13,13,13,12,17,7
1,19,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,5,,,4,4,3,2,4,2,,,,,,44,9,11,14,13,9,3
1,27,4,1,0,0,0,0,0,0,0,0,1,3,5,1,1,1,4,4,2,4,4,4,5,2,3,2,3,1,0,30,17,1.25,92,15,14,19,10,14,8
2,26,4,1,1,0,0,0,0,0,1,0,1,3,4,1,1,1,4,3,2,4,5,4,5,1,3,5,4,,,41,11,0.59,80,12,13,15,9,12,8
1,25,3,1,0,0,0,0,0,0,0,0,1,3,4,1,1,3,4,3,2,1,1,4,4,1,4,4,2,1,,49,17,0.76,72,18,11,19,7,9,10
1,27,4,1,0,0,0,0,0,0,0,0,6,3,4,1,2,2,4,3,3,4,2,4,4,3,2,4,2,,,36,15,0.92,56,14,8,16,10,10,6
2,31,2,1,0,0,0,0,0,0,1,0,6,3,4,1,2,2,3,3,3,4,6,3,4,4,2,2,3,,,38,16,0.93,44,8,12,11,12,7,7
1,24,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,1,4,2,4,5,5,4,3,3,2,4,1,,0,,14,,44,13,9,13,10,6,5
1,32,4,0,1,0,0,0,1,0,0,0,6,1,1,1,1,1,3,3,4,5,4,2,3,4,1,2,3,1,1,,,,24,11,10,10,13,3,4
1,28,3,0,1,0,1,0,0,0,1,0,1,3,3,2,2,4,4,2,3,4,5,5,5,1,2,4,2,1,1,38,11,0.64,60,15,10,10,13,8,4
2,25,3,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,2,3,1,5,4,4,4,1,2,4,2,,,49,10,0.45,48,9,9,13,12,13,11
2,29,2,0,1,0,0,0,0,0,0,0,1,2,3,1,1,4,4,2,3,4,4,4,5,2,2,4,2,,,44,13,0.65,80,10,12,17,12,11,10
1,34,2,0,0,1,0,0,0,0,1,0,7,,,,,,,3,5,,,3,3,2,2,4,4,1,1,,,,40,8,4,6,17,6,7
1,25,3,0,1,0,0,0,0,0,1,1,1,3,1,1,1,4,2,3,3,5,4,4,4,3,2,2,1,1,1,38,9,0.52,40,11,7,12,12,6,6
1,26,3,0,1,0,0,0,0,0,1,0,1,3,3,1,2,1,4,3,3,4,4,4,4,2,3,3,2,1,1,41,16,0.86,68,11,16,11,8,11,9
2,45,2,0,1,0,0,0,0,0,1,0,1,4,3,1,1,1,2,2,3,1,1,4,4,2,2,4,3,,,41,20,1.07,84,17,12,16,5,7,5
1,37,3,0,1,0,0,0,0,0,1,0,5,2,2,1,1,1,4,3,3,2,3,3,3,3,2,4,3,1,0,,11,,56,12,13,11,10,10,7
2,37,4,1,0,0,0,0,0,0,0,0,4,3,5,1,1,2,4,3,2,4,4,3,2,2,2,5,2,,,41,21,1.13,56,14,13,15,7,10,10
1,23,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,2,4,5,4,5,4,4,4,3,2,5,2,,0,52,7,0.3,60,10,13,20,7,11,8
1,25,3,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,6,3,1,2,3,4,4,3,3,4,3,1,,43,13,0.67,56,11,10,14,14,11,6
1,20,2,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,4,5,5,5,,2,4,3,3,5,4,1,0,27,12,0.98,40,4,8,3,10,5,3
1,29,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,4,1,2,4,4,4,4,1,1,4,2,1,,44,8,0.4,76,11,12,11,10,10,10
2,32,2,0,1,0,0,0,0,0,1,0,1,1,3,1,1,4,2,4,4,3,3,2,3,4,3,3,3,0,0,25,22,1.94,24,5,15,6,9,8,8
1,31,4,1,0,0,0,0,0,0,0,0,5,3,3,1,1,1,4,2,1,6,6,5,5,2,2,5,4,,,46,7,0.33,88,16,15,14,4,3,5
2,39,4,1,0,0,0,0,0,0,1,0,3,3,5,2,3,1,4,5,3,2,2,3,4,3,2,4,3,,0,38,21,1.22,52,12,14,9,10,15,7
1,25,3,0,0,1,0,0,0,0,1,0,1,1,4,1,1,1,3,4,4,2,2,4,4,3,3,4,4,,,36,6,0.37,40,19,16,15,5,11,5
1,43,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,4,1,3,4,4,,0,,,,60,9,11,14,8,9,6
1,28,3,1,0,0,0,0,0,0,1,0,1,3,4,2,2,1,4,2,3,2,1,4,5,2,3,4,2,,1,24,22,2.02,80,12,9,15,11,13,5
1,52,4,1,0,0,0,0,0,0,0,0,4,2,5,1,1,1,5,3,2,2,1,4,4,4,2,2,1,,0,41,24,1.29,64,20,14,15,4,18,7
2,29,4,0,0,0,0,0,0,0,1,0,7,,,1,1,1,3,4,3,4,4,2,4,2,4,2,2,,0,27,19,1.55,52,7,6,13,16,13,8
1,25,3,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,4,2,4,3,4,4,4,2,2,4,2,,,43,10,0.51,68,10,16,7,9,12,11
1,20,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,3,3,4,3,3,1,1,0,,,,52,13,12,15,16,17,16
1,64,4,1,0,0,0,0,0,0,0,0,4,5,5,1,1,1,5,3,1,5,5,4,5,3,2,5,2,,1,46,19,0.91,72,15,14,18,3,5,5
2,27,3,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,4,3,1,4,4,3,3,2,2,5,0,,,44,15,0.75,32,8,12,16,15,16,14
2,25,2,0,0,0,0,0,1,0,1,0,7,,,,,,,3,5,,,3,4,1,3,4,0,1,0,,,,32,7,12,8,10,9,7
1,28,4,1,0,0,0,0,0,0,0,0,6,3,4,1,1,1,3,3,5,3,3,4,4,4,2,3,2,1,0,34,14,0.91,48,11,16,10,12,15,9
1,24,3,1,0,0,0,0,0,0,1,0,1,2,4,1,1,1,4,3,2,3,3,5,4,3,3,5,1,1,1,40,10,0.55,84,15,15,19,5,6,7
1,42,3,1,0,0,0,0,0,0,1,0,1,5,4,1,1,1,2,4,2,4,4,3,4,2,1,3,2,1,0,42,12,0.63,40,14,8,5,11,6,6
1,44,4,0,0,0,0,0,0,0,0,1,6,,5,,,1,,3,3,,,3,4,3,2,3,3,0,1,34,22,1.42,64,11,10,10,13,12,7
1,56,4,0,0,0,0,0,0,0,0,1,4,4,4,1,1,1,5,4,5,4,4,4,4,3,2,4,4,1,1,45,21,1.03,76,15,16,20,10,15,9
1,25,4,1,0,0,0,0,0,0,0,0,1,2,4,1,1,1,4,3,3,4,4,4,4,1,2,4,2,,0,34,15,0.97,64,11,10,19,8,14,9
2,27,2,0,1,0,0,0,0,0,1,0,1,2,2,1,1,1,4,1,2,5,5,4,5,4,3,5,0,,1,51,10,0.43,60,13,14,19,7,9,4
3,30,3,1,0,0,0,0,0,0,1,0,1,1,4,1,2,1,5,3,2,5,2,4,4,4,4,5,0,1,0,54,21,0.86,56,14,12,16,9,19,7
1,29,4,1,0,0,0,0,0,0,0,0,1,3,4,1,2,1,2,3,2,4,4,4,5,3,3,4,2,,1,38,14,0.81,72,19,15,17,7,7,5
3,24,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,4,,,3,3,3,2,4,2,1,1,,,,36,9,11,8,10,8,6
3,28,4,1,0,0,0,0,0,0,0,0,1,3,4,1,1,1,2,2,3,3,3,3,4,2,2,4,2,,,31,13,0.92,60,10,13,9,6,9,8
1,27,3,0,0,0,0,0,0,0,1,0,7,,,,,,,4,3,,,4,4,1,2,3,4,,,,,,60,14,16,15,9,10,8
2,26,3,0,0,0,0,0,0,0,1,0,1,1,4,1,1,1,2,4,4,4,4,2,4,4,2,2,3,,,35,21,1.32,44,14,20,15,15,15,6
1,26,2,0,0,0,0,0,0,0,1,0,7,,,,,,,4,1,,,2,1,4,1,4,3,,,,,,20,5,8,6,16,12,7
1,62,4,1,0,0,0,0,0,0,0,0,3,5,5,1,1,2,4,4,2,1,2,2,5,3,2,3,2,,0,41,18,0.97,40,12,15,17,9,11,14
